Hexa,Cube,N,E,Name
84018020,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.0.0.0.0.0.0.2.2.0.0.0,4,14,
B4200000,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.0.0.0.0.0.0.0.0,4,13,
B4004000,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.2.0.0.0.0.0.0.0.0.2.0.0,22,74,
800005A0,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.0.0.0,14,46,
802C0400,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.0.0,16,56,
800C0404,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.1.1.0.0.2.0.0.2,76,252,
180600020,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.0.0.0.0.3.3.0.0.0,12,30,
18C002060,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.3.0.0.0.0.4.4.4.0.3.0,11,27,
18C000460,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.0.0.0.3.3.4.4.4.0.0.0,22,54,
180600400,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.0.3.3.0.0.0.0.0.0,32,80,
182800008,0.0.0.0.0.0.0.0.0.1.1.1.2.0.3.2.0.3.0.0.0.0.4.0.0.4.0,57,126,Broken Switch Clock
180408040,0.0.0.0.0.0.0.0.0.1.1.1.0.0.3.2.2.0.0.0.0.4.4.3.0.0.0,60,138,Clock Neptune & Bar
800080200060,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.0.0.4.4.4.0.0.0,86,216,
110000860,0.0.0.0.0.0.0.0.0.1.1.2.0.0.2.0.0.0.3.3.0.4.4.4.0.0.0,308,712,
80200460,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.4.4.4.0.0.0,392,976,
180200021,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4,402,1004,
180000C08,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.0.0.2.2.2.0.3.0.0.3.0,61,147,
180002C00,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.2.0.3.3.3.0.0.0.0.2.0,64,164,
10800421,0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.0.0.1.0.2.2.0.3.3.0.4.4,878,2170,
1800000000421,0.0.0.1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.0.3.3.0.4.4,1048,2620,
C61,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.3.3,288,704,
10000000000461,0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.3.3.3.0.4.4,1416,3488,Lioh
800084220020,0.0.0.0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.0.0.5.6.6.0.0.0,384,900,Clock Jupiter
1080200420,0.0.0.0.0.1.0.0.0.0.2.2.0.0.1.0.3.3.0.4.4.0.5.5.0.0.0,2528,6124,
800080200420,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.0.5.5.0.0.0,2992,7608,
100008C40,0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.0.0.0.3.3.3.4.4.2.0.0.0,450,1062,
2800C08,0.0.0.0.0.0.0.0.0.0.0.0.1.0.2.1.0.2.3.3.3.0.4.0.0.4.0,476,1168,
80800421,0.0.0.0.0.0.0.0.0.0.1.1.0.0.2.0.0.2.0.3.3.0.4.4.0.5.5,6480,15888,
80200421,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.5.5,7224,18148,
10800080000003,0.1.1.0.2.2.0.0.0.0.3.3.0.0.0.0.0.0.0.0.0.0.0.0.4.4.4,2192,5272,KC’s Castle
80200C01,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.0.0.0.0.4.4,2224,5456,
10000080000421,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.0.3.3.0.4.4.0.5.5,10484,25920,Ruin
10000080200401,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.0.0.0.0.5.5,11360,28208,
C23,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.0.2.2.3.3.3,140,340,
C1C,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.2.3.4.2.3.4,4592,10868,
10040000000421,0.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0.0.3.3.0.4.4.0.5.5,10800,25988,
30000000000403,1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.0.0.0.3.3.3,504,1200,
10040000000C01,0.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0.3.3.3.0.0.0.0.4.4,5400,12288,
20008000000806,1.1.2.0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.3.3.0.0.0.4.5.5.4,7344,16752,
B4000060,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.0.0.0.0.0.2.2.2.0.0.0,2,6,
B4600000,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.2.2.2.0.0.0.0.0.0.0.0.0,2,5,
84218020,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.3.3.0.0.0.0.2.2.0.0.0,16,50,
B4200020,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.0.0.0.3.3.0.0.0,15,43,
F4200000,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.0.3.3.0.0.0.0.0.0.0.0.0,15,40,
84018420,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.0.0.0.3.3.0.2.2.0.0.0,78,232,
B4200400,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.3.3.0.0.0.0.0.0,78,216,
8B4004000,0.0.0.0.0.0.1.0.0.0.2.2.0.2.2.1.0.0.0.0.0.0.0.0.1.0.0,11,30,Bell
4018421,0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.3.3,200,566,Advanced Y
800C0460,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.1.1.2.2.2.0.0.0,6,16,
806C0400,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.0.0.0.0.0.0,8,24,
10080005A,0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.0.0.2.0.0.0.3.3.0.3.3.0,43,115,
802005A0,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.0.0,48,132,
802C0420,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.3.3.0.0.0,52,150,
8000042D,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.2.2.0.3.3.0.3.3,240,662,
802C0401,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.3.3,272,784,
101200800C00,0.0.0.0.0.1.0.0.1.0.0.0.0.0.1.0.0.1.2.2.2.0.0.0.0.0.0,36,96,
109200800004,0.0.2.0.0.1.0.0.1.0.0.2.0.0.1.0.0.1.0.0.0.0.0.3.0.0.3,580,1588,
18C600060,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.0.0.0.4.4.4.0.0.0,5,12,3 Bars
180608040,0.0.0.0.0.0.0.0.0.1.1.1.0.0.3.2.2.2.0.0.0.4.4.3.0.0.0,20,42,
800180600020,0.0.0.0.1.1.0.0.0.2.2.2.0.0.0.3.3.3.0.0.0.0.4.4.0.0.0,38,86,
400018C002060,0.1.0.0.1.0.0.0.0.2.2.2.3.3.3.0.4.0.0.0.0.5.5.5.0.4.0,37,84,
180600420,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.0.3.3.0.4.4.0.0.0,76,172,
18C200061,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.3.3.0.0.0.4.4.4.0.5.5,68,157,
18C000C60,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.0.0.3.3.3.4.4.4.0.0.0,20,48,
180600C00,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.3.3.3.0.0.0.0.0.0,24,64,
1000018C000061,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.0.0.0.0.0.4.4.4.0.5.5,67,152,
1000018C000062,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.0.0.0.0.0.4.4.4.5.5.0,116,266,
180600401,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.0.3.3.0.0.0.0.4.4,184,416,
10000180600001,0.1.1.0.0.0.0.0.0.2.2.2.0.0.0.3.3.3.0.0.0.0.0.0.0.4.4,104,232,
17400000060,0.1.0.2.3.4.0.5.0.0.1.0.2.3.4.0.5.0.0.0.0.6.6.6.0.0.0,124,234,Switched Clocks
