Hexa,Cube,N,E,Name
18C1C2C60,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.3.0.1.1.1.4.4.4.0.3.0,19,41,
1000018C0005AD,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.0.0.0.4.4.0.4.4.0.4.4,30,61,
100180806C0401,0.1.1.0.0.0.0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.0.0.0.0.3.3,48,96,
10802005AD,0.0.0.0.0.1.0.0.0.0.2.2.0.0.1.0.3.3.0.4.4.0.4.4.0.4.4,98,167,
8000808005AD,0.0.0.0.1.1.0.0.0.0.2.2.0.0.3.0.0.3.0.4.4.0.4.4.0.4.4,108,208,
8000802005AD,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.0.4.4.0.4.4,140,280,
100000808005AD,0.1.1.0.0.0.0.0.0.0.2.2.0.0.3.0.0.3.0.4.4.0.4.4.0.4.4,444,800,
100000802005AD,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.0.4.4.0.4.4,520,972,
100180802C0421,0.1.1.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.3.3.0.4.4,574,1136,
10000000C7F,0.1.0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.0.2.2.2.3.3.3.3.3.3,80,150,
8000000007BD,0.0.0.0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.3.2.2.3.2.2.3.2.2,88,184,
100410000005AD,0.1.1.0.0.3.0.2.2.0.0.0.0.0.3.0.0.0.0.4.4.0.4.4.0.4.4,973,1801,
100580802C0401,0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.3.3.0.1.1.0.0.0.0.4.4,1176,2200,
100580800C0403,0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.0.0.0.1.1.0.0.0.3.3.3,288,528,
10040000000FE1,0.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0.3.3.3.3.3.3.0.4.4,1128,1968,
846D8420,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.3.3.3.0.1.1.0.2.2.0.0.0,8,20,
B46005A0,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.2.2.2.0.3.3.0.3.3.0.0.0,6,13,
85AC0460,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.2.2.0.1.1.3.3.3.0.0.0,6,11,
C7AC0400,0.0.0.0.0.0.0.0.0.2.1.1.2.3.3.2.3.3.0.1.1.0.0.0.0.0.0,6,10,
8000842D8420,0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.2.2.0.3.3.0.0.0,52,121,
F42005A0,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.0.3.3.0.4.4.0.4.4.0.0.0,43,91,
800085AC0420,0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.2.2.0.4.4.0.0.0,48,96,
85AE0420,0.0.0.0.0.0.0.0.0.0.1.1.3.2.2.0.2.2.0.1.1.3.4.4.0.0.0,43,84,
842D8421,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.3.3.0.1.1.0.2.2.0.4.4,228,542,
B42005A1,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.3.3.0.3.3.0.4.4,205,453,
85AC0421,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.2.2.0.1.1.0.3.3.0.4.4,200,388,
85AE0401,0.0.0.0.0.0.0.0.0.0.1.1.3.2.2.0.2.2.0.1.1.3.0.0.0.4.4,194,368,
8B40045A0,0.0.0.0.0.0.1.0.0.0.2.2.0.2.2.1.0.0.0.3.3.0.3.3.1.0.0,31,70,
85AC0403,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.2.2.0.1.1.0.0.0.3.3.3,30,52,
B40007A1,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.0.0.3.2.2.3.2.2.0.4.4,443,985,
10000085AC0401,0.1.1.0.0.0.0.0.0.0.2.2.0.3.3.0.3.3.0.2.2.0.0.0.0.4.4,424,800,
800184638020,0.0.0.0.1.1.0.0.0.2.2.2.5.3.3.4.4.4.0.0.0.5.3.3.0.0.0,20,40,
800184618420,0.0.0.0.1.1.0.0.0.2.2.2.0.3.3.4.4.4.0.5.5.0.3.3.0.0.0,58,114,
18002B4001060,0.0.0.1.1.1.0.0.2.0.3.3.0.3.3.0.0.2.0.0.0.4.4.4.0.0.2,20,44,
184618421,0.0.0.0.0.0.0.0.0.1.1.1.0.2.2.3.3.3.0.4.4.0.2.2.0.5.5,104,204,
58401B420,0.0.0.0.0.0.0.1.0.2.2.2.0.3.3.0.1.4.0.5.5.0.3.3.0.1.4,58,110,
8000F4600420,0.0.0.0.1.1.0.0.0.3.2.2.3.2.2.4.4.4.0.5.5.0.6.6.0.0.0,612,1096,
800184238021,0.0.0.0.1.1.0.0.0.2.2.2.5.3.3.0.4.4.0.0.0.5.3.3.0.6.6,652,1228,
8200B4700020,2.0.0.0.1.1.0.0.0.2.3.3.0.3.3.4.4.4.2.0.0.0.5.5.0.0.0,142,280,
187A00C20,0.0.0.0.0.0.0.0.0.1.1.1.3.2.2.3.2.2.4.4.4.0.5.5.0.0.0,103,172,
8000B4200C60,0.0.0.0.1.1.0.0.0.0.2.2.0.2.2.0.3.3.4.4.4.5.5.5.0.0.0,144,279,
F4200C60,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.0.3.3.4.4.4.5.5.5.0.0.0,106,186,
1800084218421,0.0.0.1.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.5.5.0.3.3.0.6.6,1510,2968,
F6200421,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.2.3.3.0.4.4.0.5.5.0.6.6,1161,2028,
18000B4200421,0.0.0.1.1.1.0.0.0.0.2.2.0.2.2.0.3.3.0.4.4.0.5.5.0.6.6,1498,2863,
F4200461,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.0.3.3.0.4.4.5.5.5.0.6.6,1190,2140,
184218C21,0.0.0.0.0.0.0.0.0.1.1.1.0.2.2.0.3.3.4.4.4.0.2.2.0.5.5,528,1036,
185A00C21,0.0.0.0.0.0.0.0.0.1.1.1.0.2.2.0.2.2.3.3.3.0.4.4.0.5.5,488,928,
187A00C01,0.0.0.0.0.0.0.0.0.1.1.1.3.2.2.3.2.2.4.4.4.0.0.0.0.5.5,392,642,
B4200C61,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.3.3.3.4.4.4.0.5.5,474,873,
40184218421,0.0.0.0.0.0.0.1.1.2.2.2.0.3.3.0.4.4.0.5.5.0.3.3.0.6.6,1840,3400,
100000B4600421,0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.3.3.3.0.4.4.0.5.5.0.6.6,1695,3238,
100000F6200401,0.1.1.0.0.0.0.0.0.3.2.2.3.2.2.3.4.4.0.5.5.0.0.0.0.6.6,1444,2476,
100000B4200461,0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.0.3.3.0.4.4.5.5.5.0.6.6,1653,3014,
B4000C63,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.0.0.2.2.2.3.3.3.4.4.4,32,66,
803004000C63,0.0.0.0.1.1.0.0.0.0.0.0.0.1.1.0.0.0.2.2.2.3.3.3.4.4.4,33,62,
100000B4000463,0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.0.0.0.0.3.3.4.4.4.5.5.5,862,1560,
1800004018631,0.0.0.1.1.1.0.0.0.0.0.0.0.2.2.0.0.0.4.3.3.4.2.2.4.5.5,848,1556,
100400B4000461,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.0.0.0.4.4.5.5.5.0.6.6,1442,2500,
100400B4600401,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.4.4.4.0.5.5.0.0.0.0.6.6,1397,2590,
807084200230,0.0.0.2.1.1.0.0.0.0.3.3.2.1.1.0.4.4.5.0.0.5.6.6.5.0.0,944,1688,
800084238421,0.0.0.0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.6.6.5.3.3.0.7.7,10292,19312,
800084218C21,0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.5.5.5.0.3.3.0.6.6,3908,7248,
F4200C21,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.0.3.3.4.4.4.0.5.5.0.6.6,3388,5832,
10800084218421,0.1.1.0.2.2.0.0.0.0.3.3.0.4.4.0.5.5.0.6.6.0.4.4.0.7.7,13540,25480,
100000F4200421,0.1.1.0.0.0.0.0.0.3.2.2.3.2.2.0.4.4.0.5.5.0.6.6.0.7.7,12172,22146,
84218C23,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.3.3.4.4.4.0.2.2.5.5.5,262,524,
B4200C23,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.3.3.3.0.4.4.5.5.5,258,464,
800004038C23,0.0.0.0.1.1.0.0.0.0.0.0.3.2.2.0.0.0.4.4.4.3.2.2.5.5.5,208,344,
2100084218421,0.0.1.0.0.1.0.0.1.0.2.2.0.3.3.0.4.4.0.5.5.0.3.3.0.6.6,6784,12328,
10800084018423,0.1.1.0.2.2.0.0.0.0.3.3.0.4.4.0.0.0.0.5.5.0.4.4.6.6.6,6441,11373,
807004000631,0.0.0.2.1.1.0.0.0.0.0.0.2.1.1.0.0.0.4.3.3.4.5.5.4.6.6,5800,9716,
10040084218421,0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.5.5.0.6.6.0.4.4.0.7.7,11396,20434,
100400B4200421,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.4.4.0.5.5.0.6.6.0.7.7,10933,19751,
100F208000842,0.0.2.1.1.3.0.0.4.0.0.2.1.1.3.0.0.4.5.5.0.6.6.0.7.7.0,10306,18236,
30000084018423,1.1.1.0.0.0.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.0.3.3.5.5.5,836,1516,
100000B4200C03,0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.0.3.3.4.4.4.0.0.0.5.5.5,774,1344,
100C0084018421,0.1.1.0.0.0.2.2.2.0.3.3.0.4.4.0.0.0.0.5.5.0.4.4.0.6.6,6834,11524,
100400B4200C01,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.4.4.5.5.5.0.0.0.0.6.6,6624,11160,
10040084118421,0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.0.0.5.6.6.0.4.4.0.7.7,6758,11484,
100400B4200601,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.4.4.6.5.5.6.0.0.0.7.7,6652,11492,
20202B4101400,2.0.1.0.0.1.0.0.3.2.4.4.0.4.4.0.0.3.2.5.5.0.0.0.0.0.3,115,224,
100002B4000C03,0.1.1.0.0.0.0.0.2.0.3.3.0.3.3.0.0.2.4.4.4.0.0.0.5.5.5,65,90,
100C00B4000403,0.1.1.0.0.0.2.2.2.0.3.3.0.3.3.0.0.0.0.4.4.0.0.0.5.5.5,220,400,
823804000611,2.0.0.0.1.1.3.0.0.2.0.0.0.1.1.3.0.0.5.4.4.5.0.0.5.6.6,4721,7440,
1004000411C421,0.1.1.0.0.0.0.2.2.4.0.0.0.3.3.5.0.0.4.6.6.0.3.3.5.7.7,2948,4704,
11120188002D,0.2.0.0.0.1.0.0.1.0.2.0.0.3.1.0.3.1.0.2.0.0.4.4.0.4.4,10,16,
806C042D,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.0.3.3.0.3.3,16,30,
802C3461,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.3.3.3.0.2.2,20,46,
1001908200005A,0.1.1.0.0.2.0.0.0.0.1.1.3.0.2.3.0.0.0.0.0.4.4.0.4.4.0,88,164,
8000808C042D,0.0.0.0.1.1.0.0.0.0.2.2.0.0.3.0.0.3.0.2.2.0.4.4.0.4.4,93,173,
1081808020002D,0.1.1.0.2.2.0.0.0.0.1.1.0.0.0.0.3.3.0.0.0.0.4.4.0.4.4,112,214,
8000802E3401,0.0.0.0.1.1.0.0.0.0.2.2.4.0.0.0.3.3.0.2.2.4.0.0.0.3.3,110,232,Diamond
8000802C3421,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4.0.3.3,128,280,
100000808C042D,0.1.1.0.0.0.0.0.0.0.2.2.0.0.3.0.0.3.0.2.2.0.4.4.0.4.4,424,778,
100000802C042D,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4.0.4.4,486,900,
100000802C3421,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4.0.3.3,576,1220,
10018080000C2D,0.1.1.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.2.2.2.0.3.3.0.3.3,76,128,
B6000010002D,2.0.0.0.1.1.0.1.1.2.0.0.0.0.0.0.0.0.2.0.0.0.3.3.0.3.3,92,200,
1005808000042D,0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.0.0.0.3.3.0.4.4.0.4.4,888,1610,
100400802C3401,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.0.3.3.0.0.0.0.4.4,1120,2240,
180008C6C0460,0.0.0.1.1.1.0.0.0.0.2.2.3.3.3.4.4.4.0.2.2.5.5.5.0.0.0,12,24,
180018C20042D,0.0.0.1.1.1.0.0.0.2.2.2.3.3.3.0.4.4.0.5.5.0.6.6.0.6.6,129,248,
80018C60042D,0.0.0.0.1.1.0.0.0.2.2.2.3.3.3.4.4.4.0.5.5.0.6.6.0.6.6,126,252,
18C600C2D,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.4.4.4.0.5.5.0.5.5,36,72,
8C6C0463,0.0.0.0.0.0.0.0.0.0.1.1.2.2.2.3.3.3.0.1.1.4.4.4.5.5.5,42,86,
4018C60042D,0.0.0.0.0.0.0.1.1.2.2.2.3.3.3.4.4.4.0.5.5.0.6.6.0.6.6,92,184,
1000018C60042D,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.4.4.4.0.5.5.0.6.6.0.6.6,160,320,
1000008C6C0461,0.1.1.0.0.0.0.0.0.0.2.2.3.3.3.4.4.4.0.2.2.5.5.5.0.6.6,96,183,
1001808C600461,0.1.1.0.0.0.0.0.0.0.1.1.2.2.2.3.3.3.0.4.4.5.5.5.0.6.6,170,330,
1760008002D,0.1.0.2.3.4.0.5.6.0.1.0.2.3.4.0.5.6.0.1.0.0.7.7.0.7.7,592,892,
180008620042D,0.0.0.1.1.1.0.0.0.0.2.2.4.3.3.4.5.5.0.6.6.0.7.7.0.7.7,656,1196,
30018380002D,0.0.0.0.1.2.0.1.2.3.3.3.4.5.6.4.5.6.0.0.0.0.7.7.0.7.7,684,1144,
18000842E0421,0.0.0.1.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.2.2.5.6.6.0.7.7,598,1016,Pendulum
110C00C5A,0.0.0.0.0.0.0.0.0.1.1.2.0.0.2.3.3.2.4.4.4.5.5.0.5.5.0,160,248,
180C00C5A,0.0.0.0.0.0.0.0.0.1.1.1.0.0.2.3.3.2.4.4.4.5.5.0.5.5.0,170,264,
630008080002D,0.1.2.0.1.2.0.1.2.0.3.3.0.0.4.0.0.4.0.0.0.0.5.5.0.5.5,212,382,
8000806C0423,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.3.3.3.0.2.2.0.4.4.5.5.5,296,544,
800180800C2D,0.0.0.0.1.1.0.0.0.2.2.2.0.0.3.0.0.3.4.4.4.0.5.5.0.5.5,198,343,
800180200C2D,0.0.0.0.1.1.0.0.0.2.2.2.0.0.0.0.3.3.4.4.4.0.5.5.0.5.5,296,562,
10018280003D,0.0.0.0.0.1.0.0.1.2.2.2.3.0.4.3.0.4.0.0.0.6.5.5.6.5.5,1536,2468,
1000C280003D,0.0.0.0.0.1.0.0.1.3.2.2.3.0.4.3.0.4.0.0.0.6.5.5.6.5.5,1524,2454,
10019080600421,0.1.1.0.0.2.0.0.0.0.1.1.0.0.2.3.3.3.0.4.4.0.5.5.0.6.6,1782,3138,
108000806C0421,0.1.1.0.2.2.0.0.0.0.3.3.0.0.0.4.4.4.0.3.3.0.5.5.0.6.6,3008,5348,
30018080003D,0.0.0.0.1.2.0.1.2.3.3.3.0.0.4.0.0.4.0.0.0.6.5.5.6.5.5,1762,3052,
84018020042D,0.0.0.0.1.1.0.2.2.3.3.3.0.0.0.0.4.4.0.5.5.0.6.6.0.6.6,3010,5568,
10019080000463,0.1.1.0.0.2.0.0.0.0.1.1.0.0.2.0.0.0.0.3.3.4.4.4.5.5.5,696,1144,
108000800C0463,0.1.1.0.2.2.0.0.0.0.3.3.0.0.0.0.0.0.0.3.3.4.4.4.5.5.5,924,1662,
100000806C0423,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.3.3.3.0.2.2.0.4.4.5.5.5,992,1754,
10018080200C61,0.1.1.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.4.4.4.0.5.5,1020,1900,
50018080003D,0.0.0.1.0.2.1.0.2.3.3.3.0.0.4.0.0.4.0.0.0.6.5.5.6.5.5,1841,3074,
1004018020042D,0.1.1.0.0.0.0.2.2.3.3.3.0.0.0.0.4.4.0.5.5.0.6.6.0.6.6,2928,5190,
100400806C0421,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.4.4.4.0.3.3.0.5.5.0.6.6,3116,5186,
100400802C0461,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.0.3.3.5.5.5.0.6.6,3098,5434,
10018080000C63,0.1.1.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.4.4.4,66,124,
100400800C0463,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.0.0.0.3.3.4.4.4.5.5.5,1304,2284,
100400806C0403,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.4.4.4.0.3.3.0.0.0.5.5.5,1592,2576,
100400801C0461,0.1.1.0.0.0.0.2.2.4.3.3.0.0.0.0.0.0.4.3.3.5.5.5.0.6.6,1866,3124,
100400807C0401,0.1.1.0.0.0.0.2.2.5.3.3.0.0.0.4.4.4.5.3.3.0.0.0.0.6.6,2776,4296,
1101308C00C40,0.0.0.1.1.2.0.0.2.3.3.0.4.4.2.5.5.2.6.6.6.7.7.0.0.0.0,1308,1928,
800086200C2D,0.0.0.0.1.1.0.0.0.0.2.2.4.3.3.4.5.5.6.6.6.0.7.7.0.7.7,1308,2168,
376000005A0,1.2.0.3.4.5.0.6.7.1.2.0.3.4.5.0.6.7.0.8.8.0.8.8.0.0.0,11676,18612,
108000842E0421,0.1.1.0.2.2.0.0.0.0.3.3.6.4.4.0.5.5.0.3.3.6.7.7.0.8.8,11670,20260,
210008280003D,0.0.1.0.0.1.0.0.1.0.2.2.3.0.4.3.0.4.0.0.0.6.5.5.6.5.5,6184,9696,
10019080200C21,0.1.1.0.0.2.0.0.0.0.1.1.0.0.2.0.3.3.4.4.4.0.5.5.0.6.6,6404,10664,
10800080200C2D,0.1.1.0.2.2.0.0.0.0.3.3.0.0.0.0.4.4.5.5.5.0.6.6.0.6.6,7292,12552,
50008280003D,0.0.0.1.0.2.1.0.2.0.3.3.4.0.5.4.0.5.0.0.0.7.6.6.7.6.6,17916,29844,
10059080200421,0.1.1.0.0.3.0.2.2.0.1.1.0.0.3.0.4.4.0.5.5.0.6.6.0.7.7,18030,30720,
1084008020042D,0.1.1.0.2.2.0.3.3.0.4.4.0.0.0.0.5.5.0.6.6.0.7.7.0.7.7,21824,37968,
30101280800023,1.1.1.0.0.2.0.0.2.0.3.3.0.0.2.0.0.2.0.0.0.0.4.4.5.5.5,480,764,
10818080000C23,0.1.1.0.2.2.0.0.0.0.1.1.0.0.0.0.0.0.3.3.3.0.4.4.5.5.5,472,796,
300000802C0423,1.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4.5.5.5,516,912,
10101280800C21,0.1.1.0.0.2.0.0.2.0.3.3.0.0.2.0.0.2.4.4.4.0.5.5.0.6.6,10090,15940,
108400800C0423,0.1.1.0.2.2.0.3.3.0.4.4.0.0.0.0.0.0.0.4.4.0.5.5.6.6.6,10884,17672,
108400800005A3,0.1.1.0.2.2.0.3.3.0.4.4.0.0.0.0.0.0.0.5.5.0.5.5.6.6.6,11138,18064,
39A000005A0,1.2.3.0.0.4.5.0.6.1.2.3.0.0.4.5.0.6.0.7.7.0.7.7.0.0.0,13708,22664,
1004008020043D,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.0.5.5.7.6.6.7.6.6,16276,27172,
100400803C0421,0.1.1.0.0.0.0.2.2.5.3.3.0.0.0.0.4.4.5.3.3.0.6.6.0.7.7,16220,26692,
10858080000C03,0.1.1.0.2.2.0.3.3.0.1.1.0.0.0.0.0.0.4.4.4.0.0.0.5.5.5,282,488,
18018080000C23,2.1.1.2.0.0.0.0.0.0.1.1.0.0.0.0.0.0.3.3.3.0.4.4.5.5.5,65,90,
188D8080000C00,2.1.1.2.3.3.4.4.4.0.1.1.0.0.0.0.0.0.5.5.5.0.0.0.0.0.0,65,90,
10058080200C03,0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.3.3.4.4.4.0.0.0.5.5.5,180,344,
100D8080200C04,0.1.1.0.0.0.2.2.2.0.1.1.0.0.0.0.3.3.4.4.4.0.0.5.0.0.5,52,72,
10118080200C03,0.1.1.0.0.2.0.0.2.0.1.1.0.0.0.0.3.3.4.4.4.0.0.0.5.5.5,52,72,
100C008000043D,0.1.1.0.0.0.2.2.2.0.3.3.0.0.0.0.0.0.0.4.4.6.5.5.6.5.5,8920,13760,
10078080200C01,3.1.1.0.0.0.0.2.2.3.1.1.0.0.0.0.4.4.5.5.5.0.0.0.0.6.6,9792,14832,
10039A80000401,2.1.1.0.0.3.4.0.5.2.1.1.0.0.3.4.0.5.0.6.6.0.0.0.0.7.7,6942,11004,
10038E80000401,2.1.1.0.0.0.3.4.5.2.1.1.0.0.0.3.4.5.0.6.6.0.0.0.0.7.7,8128,12656,
100D8080000603,0.1.1.0.0.0.2.2.2.0.1.1.0.0.0.0.0.0.4.3.3.4.0.0.5.5.5,29,40,
30080040120603,1.1.1.0.0.0.2.2.0.3.0.0.3.0.0.0.0.0.3.4.4.3.0.0.5.5.5,29,40,
129200800C14,2.0.3.0.0.1.0.0.1.2.0.3.0.0.1.0.0.1.4.4.4.5.0.6.5.0.6,4160,6008,
2010880000085E,1.1.3.0.0.2.4.0.2.0.0.3.0.0.0.4.0.0.5.5.0.6.6.7.6.6.7,1576,2348,
180018C200C61,0.0.0.1.1.1.0.0.0.2.2.2.3.3.3.0.4.4.5.5.5.6.6.6.0.7.7,240,528,
184018C200461,0.0.0.1.1.1.0.2.2.3.3.3.4.4.4.0.5.5.0.6.6.7.7.7.0.8.8,318,684,
2184018C200460,1.1.0.2.2.2.0.3.3.4.4.4.5.5.5.0.6.6.0.7.7.8.8.8.0.0.0,92,200,
18C600C63,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.4.4.4.5.5.5.6.6.6,40,92,
210018C600461,0.0.1.0.0.1.0.0.1.2.2.2.3.3.3.4.4.4.0.5.5.6.6.6.0.7.7,254,556,
1000018C600C61,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.4.4.4.5.5.5.6.6.6.0.7.7,142,308,
1040C1C7060,0.1.0.0.0.0.0.2.0.4.1.5.3.3.3.6.2.7.4.1.5.8.8.8.6.2.7,142,296,
1B40019F000,0.1.2.0.3.4.0.5.0.6.1.2.0.3.4.7.5.8.6.1.0.0.3.4.7.5.8,110,228,
800184620C21,0.0.0.0.1.1.0.0.0.2.2.2.5.3.3.4.4.4.6.6.6.5.7.7.0.8.8,408,744,
10800184620421,0.1.1.0.2.2.0.0.0.3.3.3.6.4.4.5.5.5.0.7.7.6.8.8.0.9.9,570,996,
10800184620821,0.1.1.0.2.2.0.0.0.3.3.3.6.4.4.5.5.5.7.7.0.6.8.8.0.9.9,160,284,
180608C43,0.0.0.0.0.0.0.0.0.1.1.1.0.0.3.2.2.2.4.4.4.5.5.3.6.6.6,134,254,
180628C03,0.0.0.0.0.0.0.0.0.1.1.1.3.0.4.2.2.2.5.5.5.3.0.4.6.6.6,266,582,
3080018C200063,1.1.1.0.2.2.0.0.0.3.3.3.4.4.4.0.5.5.0.0.0.6.6.6.7.7.7,256,560,
4180600631,0.0.0.1.0.0.0.0.0.2.2.2.1.0.0.3.3.3.5.4.4.5.6.6.5.7.7,832,1456,
10001180600C21,0.1.1.0.0.2.0.0.0.3.3.3.0.0.2.4.4.4.5.5.5.0.6.6.0.7.7,368,656,
800180600631,0.0.0.0.1.1.0.0.0.2.2.2.0.0.0.3.3.3.5.4.4.5.6.6.5.7.7,1972,4080,
10800180600C21,0.1.1.0.2.2.0.0.0.3.3.3.0.0.0.4.4.4.5.5.5.0.6.6.0.7.7,1056,2168,
1080018C200C61,0.1.1.0.2.2.0.0.0.3.3.3.4.4.4.0.5.5.6.6.6.7.7.7.0.8.8,950,1952,
1080018C400C62,0.1.1.0.2.2.0.0.0.3.3.3.4.4.4.5.5.0.6.6.6.7.7.7.8.8.0,1772,3616,
10041180600421,0.1.1.0.0.3.0.2.2.4.4.4.0.0.3.5.5.5.0.6.6.0.7.7.0.8.8,436,712,
10081180600421,0.1.1.0.0.3.2.2.0.4.4.4.0.0.3.5.5.5.0.6.6.0.7.7.0.8.8,288,464,
10840180600421,0.1.1.0.2.2.0.3.3.4.4.4.0.0.0.5.5.5.0.6.6.0.7.7.0.8.8,1282,2548,
10840180600422,0.1.1.0.2.2.0.3.3.4.4.4.0.0.0.5.5.5.0.6.6.0.7.7.8.8.0,932,1840,
C4018C600620,0.0.0.2.1.1.2.3.3.4.4.4.5.5.5.6.6.6.8.7.7.8.9.9.0.0.0,156,312,
183800C60001C,2.3.4.1.1.1.0.0.0.2.3.4.5.5.5.6.6.6.0.0.0.7.8.9.7.8.9,1067,2060,
1188008C600421,0.1.1.2.2.2.3.3.0.0.4.4.5.5.5.6.6.6.0.7.7.0.8.8.0.9.9,788,1520,
2180810C600046,1.1.3.2.2.2.0.0.0.4.4.3.5.5.5.6.6.6.0.0.0.7.7.8.9.9.8,158,304,
11840080000463,0.1.1.2.2.2.0.3.3.0.4.4.0.0.0.0.0.0.0.5.5.6.6.6.7.7.7,1124,2192,
1182008C000C61,3.1.1.2.2.2.0.0.0.3.4.4.5.5.5.0.0.0.6.6.6.7.7.7.0.8.8,266,532,
1004018C200C61,0.1.1.0.0.0.0.2.2.3.3.3.4.4.4.0.5.5.6.6.6.7.7.7.0.8.8,864,1676,
1010018C200C61,0.1.1.0.0.2.0.0.2.3.3.3.4.4.4.0.5.5.6.6.6.7.7.7.0.8.8,260,500,
2004018C600846,1.1.0.0.0.0.0.2.2.3.3.3.4.4.4.5.5.5.6.6.0.7.7.8.9.9.8,188,376,
2008018C600846,1.1.0.0.0.0.2.2.0.3.3.3.4.4.4.5.5.5.6.6.0.7.7.8.9.9.8,344,688,
1808018C400862,2.1.1.2.0.0.3.3.0.4.4.4.5.5.5.6.6.0.7.7.0.8.8.8.9.9.0,174,312,
2008018C401862,1.1.0.0.0.0.2.2.0.3.3.3.4.4.4.5.5.6.7.7.0.8.8.8.9.9.6,301,532,
3004018C000863,1.1.1.0.0.0.0.2.2.3.3.3.4.4.4.0.0.0.5.5.0.6.6.6.7.7.7,128,280,
10040180600C03,0.1.1.0.0.0.0.2.2.3.3.3.0.0.0.4.4.4.5.5.5.0.0.0.6.6.6,208,464,
